economy,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,SE.PRM.ENRR,,110.349670410156,115.669448852539,115.985000610352,117.217170715332,116.929039001465,117.987739562988,116.970039367676,116.013900756836,117.527481079102,119.795837402344,106.374038696289,104.07494354248,114.985320023488,116.261992182873,115.01140867059,113.637463697967,,107.985168457031,108.025001525879,107.235336303711,108.599510192871,102.620727539062,,107.716996929947
ABW,SE.PRM.ENRR.FE,,108.178176879883,112.701797485352,112.163436889648,114.564247131348,114.752197265625,116.870246887207,115.377548217773,113.528038024902,114.756820678711,117.757690429688,104.978561401367,105.428016662598,113.409687425435,114.785140991211,115.664439495175,,,108.680381774902,108.657241821289,107.233497619629,110.376373291016,103.966537475586,,109.52380952381
ABW,SE.PRM.ENRR.MA,,112.488388061523,118.579742431641,119.748779296875,119.765342712402,119.042266845703,119.073196411133,118.516036987305,118.459770202637,120.277908325195,121.813781738281,107.715202331543,102.776496887207,116.512488436633,117.553191489362,114.39570695287,,,107.309936523438,107.404663085938,107.237182617188,106.859481811523,101.311988830566,,106.005434782609
ABW,SE.SEC.ENRR,,97.5565338134766,100.163063049316,101.929069519043,100.940940856934,99.2053527832031,99.8657531738281,106.236473083496,97.0627517700195,99.1602172851562,98.2207412719727,96.633918762207,108.976188659668,,,,,,137.829788208008,139.320587158203,135.124725341797,123.625907897949,131.802169799805,,124.379366731084
ABW,SE.SEC.ENRR.FE,,98.6474304199219,102.293441772461,104.977783203125,101.585006713867,100.781471252441,100.671501159668,108.43962097168,100.322486877441,100.752082824707,100.190170288086,98.8285369873047,109.055122375488,,,,,,144.720138549805,145.138092041016,143.255950927734,134.622039794922,137.287643432617,,128.74852420307
ABW,SE.SEC.ENRR.MA,,96.4439010620117,97.9970092773438,98.8703918457031,100.290870666504,97.6323089599609,99.0606536865234,104.046401977539,93.8445205688477,97.5919570922852,96.3099594116211,94.5088882446289,108.898628234863,,,,,,131.166290283203,133.686264038086,127.464012145996,113.229682922363,126.545249938965,,119.946091644205
ABW,SE.TER.ENRR,,28.8601303100586,28.5816898345947,30.3779106140137,30.352689743042,36.204231262207,34.2268714904785,34.8968086242676,35.0970611572266,34.4308586120605,36.0625305175781,37.8648109436035,38.8641815185547,17.1258697509766,17.7518997192383,16.7312393188477,17.1416206359863,,,,,,,,14.0655418559377
ABW,SE.TER.ENRR.FE,,35.1515197753906,34.9056587219238,36.363639831543,36.7873802185059,43.0869293212891,41.0064888000488,40.7372703552246,41.1839218139648,40.9134483337402,42.2370109558105,45.6057815551758,46.8903884887695,23.8380794525146,24.8597602844238,23.670919418335,22.8059902191162,,,,,,,,19.9932111337407
ABW,SE.TER.ENRR.MA,,22.6375198364258,22.3880596160889,24.4956798553467,24.0,29.2573394775391,27.3535194396973,29.0453796386719,29.1421508789062,28.1798591613769,30.166410446167,30.6682205200195,31.407320022583,10.8396501541138,11.0083999633789,10.2443103790283,11.6916103363037,,,,,,,,8.63890615288999
AFE,SE.PRM.ENRR,78.7628173828125,81.4848709106445,83.9098205566406,87.5231781005859,89.6281967163086,92.893928527832,95.3214797973633,98.4766082763672,102.146499633789,101.704643249512,101.005401611328,100.985237121582,101.240112304688,100.529190063477,100.930152893066,99.6975326538086,100.342109680176,101.228408813477,102.624809265137,103.610618591309,104.591941833496,103.366081237793,100.50830078125,100.85758972168,101.309242248535
AFE,SE.PRM.ENRR.FE,74.1068725585938,76.817268371582,79.0013275146484,82.6263275146484,85.0080413818359,88.5643615722656,91.4014282226562,94.5530624389648,98.3871002197266,98.4381637573242,97.8992309570312,97.1828231811523,97.8210601806641,97.6475296020508,98.3120574951172,97.6766204833984,98.4886779785156,99.2469177246094,100.397392272949,101.581253051758,102.679443359375,101.799057006836,99.3051300048828,99.8260803222656,100.319190979004
AFE,SE.PRM.ENRR.MA,83.3678512573242,86.1019592285156,88.7648468017578,92.3664398193359,94.1967620849609,97.1745223999023,99.1968688964844,102.355903625488,105.863906860352,104.935249328613,104.07836151123,104.747787475586,104.623512268066,103.379051208496,103.519523620605,101.695373535156,102.173400878906,103.185272216797,104.823997497559,105.613983154297,106.479591369629,104.912391662598,101.695259094238,101.874801635742,102.28556060791
AFE,SE.SEC.ENRR,27.7371292114258,28.7891101837158,29.4754505157471,30.0984306335449,31.5510196685791,32.5553398132324,34.0642395019531,35.4449501037598,36.8555488586426,37.9614715576172,38.864860534668,39.4915084838867,40.5120582580566,41.1352310180664,42.2156600952148,42.2618598937988,42.6814994812012,43.2540893554688,43.5594100952148,44.1287307739258,44.682559967041,45.1505317687988,45.2816200256348,45.1553916931152,45.6060791015625
AFE,SE.SEC.ENRR.FE,25.5485401153564,26.3633804321289,26.9570503234863,27.4211807250977,28.4966602325439,29.3665599822998,30.7157497406006,31.8105907440186,33.3657188415527,34.5432586669922,35.623420715332,36.5236701965332,37.6529693603516,38.6157493591309,39.738208770752,39.6892509460449,40.2670402526855,40.8391418457031,41.1385498046875,41.6500816345215,42.3275299072266,42.7693405151367,42.9131698608398,,
